Fecha,Lugar,Delito,Detenciones
01/01/25,Oñati,Lesiones,1
02/01/25,Aduna,Robo comercio,2
03/01/25,Errenteria,Robo violencia,1
03/01/25,Villabona,Robo ,1
03/01/25,Barakaldo,Homicidio,1
04/01/25,Azpeitia,Robo violencia,1
05/01/25,Barakaldo,Lesiones,1
06/01/25,Bilbao,Lesiones,1
07/01/25,Bilbao,Robo comercio,1
07/01/25,Lemoa,Robo comercio,1
08/01/25,Gasteiz,Usurpación,2
08/01/25,Gasteiz,Estafa,1
08/01/25,Lemoa,Robo comercio,1
10/01/25,Portugalete,Robo comercio,1
11/01/25,Gasteiz,Salud pública,1
12/01/25,Bilbao,Atentado agentes,1
13/01/25,Eibar,Táfico personas,2
14/01/25,Zaratamo,Homicidio tentativa,1
16/01/25,Muxika,Homicidio,1
16/01/25,Basauri,Amenazas,1
16/01/25,Laudio,Salud pública,1
17/01/25,Urduliz,Daños,1
18/01/25,Santurtzi,Salud pública,1
19/01/25,Donostia,Robo domicilio,1
19/01/25,Bermeo,Robo comercio,2
20/01/25,Ondarroa,Robo comercio,1
21/01/25,Barakaldo,Robo domicilio,2
22/01/25,Donostia,Robo vehículo,1
23/01/25,Zumárraga,Robo comercio,5
25/01/25,Bilbao,Atentado,1
26/01/25,Santurtzi,Salud pública,1
27/01/25,Bilbao,Robo domicilio,1
27/01/25,Barakaldo,Robo domicilio,1
28/01/25,Abadiño,Resistencia,2
31/01/25,Donostia,Lesiones,3
01/02/25,Irun,Salud pública,2
01/02/25,Hernani,Allanamiento,2
01/02/25,Bilbao,Robo violencia,1
01/02/25,Gatika,Robo domicilio,1
04/02/25,Barakaldo,Hurto,1
05/02/25,Erandio,Robo domicilio,1
05/02/25,Gasteiz,Robo comercio,1
05/02/25,Gernika,Extorsión,1
05/02/25,Irun,Homicidio,1
06/02/25,Bilbao,Salud pública,1
06/02/25,Gernika,Salud pública,1
07/02/25,Bilbao,Robo domicilio,1
07/02/25,Sestao,Robo ,2
08/02/25,Portugalete,VG,1
09/02/25,Irun,Bandas,3
09/02/25,Renteria,Bandas,2
10/02/25,Donostia,Robo domicilio,1
10/02/25,Azpeitia,Robo comercio,2
11/02/25,Basauri,Atentado agentes,1
12/02/25,Donostia,Robo domicilio,2
12/02/25,Gasteiz,Robo violencia,2
13/02/25,Gasteiz,Homicidio tentativa,1
15/02/25,Bilbao,Salud pública,2
15/02/25,Durango,Agresión sexual,2
15/02/25,Ondarroa,Armas,1
16/02/25,Durango,Lesiones,1
17/02/25,Irun,Robo violencia,1
18/02/25,Basauri,Homicidio,1
18/02/25,Getxo,Robo domicilio,2
19/02/25,Donostia,Agresión sexual,1
19/02/25,Tolosa,Robo violencia,2
19/02/25,Zierbena,Robo ,2
19/02/25,Lasarte-Oria,Lesiones,1
20/02/25,Irun,Robo domicilio,1
20/02/25,Iruña de Oca,Salud pública,1
20/02/25,Gasteiz,Agresión sexual,1
21/02/25,Irura,Robo vehículo,3
21/02/25,Gasteiz,Lesiones,1
21/02/25,Llodio,Robo domicilio,2
21/02/25,Donostia,Agresión sexual,1
22/02/25,Barakaldo,Amenazas,1
22/02/25,Legutio,Salud pública,1
22/02/25,Bilbao,Lesiones,5
22/02/25,Mungia,Robo comercio,2
23/02/25,Gasteiz,Homicidio,1
23/02/25,Bilbao,Lesiones,2
25/02/25,Bilbao,Robo comercio,1
25/02/25,Armiñon,Seguridad vial,1
26/02/25,Azkoitia,Salud pública,1
27/02/25,Andoain,Robo comercio,1
27/02/25,Getxo,Salud pública,2
27/02/25,Trapagaran,Robo comercio,1
28/02/25,Bilbao,Robo comercio,2
28/02/25,Bermeo,Robo comercio,2
28/02/25,Donostia,Salud pública,2
28/02/25,Gernika,Extorsión,4
28/02/25,Eibar,Salud pública,1
01/03/25,Arrasate,Robo comercio,1
03/03/25,Bilbao,Robo violencia,1
03/03/25,Gasteiz,VG,2
03/03/25,Santurtzi,Robo comercio,1
04/03/25,Loiu,Robo domicilio,1
05/03/25,Tolosa,Lesiones,1
05/03/25,Bilbao,Requisitoria,2
05/03/25,Irun,Salud pública,1
06/03/25,Barakaldo,Robo comercio,2
06/03/25,Basauri,Estafa,0
06/03/25,Trapagaran,Robo violencia,1
07/03/25,Gasteiz,Robo comercio,1
07/03/25,Donostia,Lesiones,2
08/03/25,Getxo,Salud pública,1
08/03/25,Renteria,Robo comercio,1
08/03/25,Donostia,Homicidio,2
08/03/25,Donostia,Insultos racistas,0
09/03/25,Sondika,Lesiones,1
11/03/25,Bilbao,Robo comercio,1
11/03/25,Eibar,Robo ,1
12/03/25,Gasteiz,Robo violencia,1
12/03/25,Bilbao,Salud pública,1
13/03/25,Gasteiz,Robo ,2
13/03/25,Donostia,Homicidio tentativa,4
13/03/25,Bilbao,Orden público,6
14/03/25,Bilbao,Orden público,14
14/03/25,Aia,Salud pública,1
14/03/25,Bermeo,Robo violencia,1
15/03/25,Donostia,Salud pública,4
16/03/25,Gasteiz,Salud pública,1
17/03/25,Gasteiz,Atentado,1
18/03/25,Ugao,Allanamiento,1
20/03/25,Zalla,Salud pública,1
20/03/25,Irun,Salud pública,1
20/03/25,Bizkaia,Salud pública,11
22/03/25,Bilbao,Lesiones,2
22/03/25,Muskiz,Seguridad vial,1
23/03/25,Barakaldo,Robo violencia,1
24/03/25,Eibar,Robo comercio,1
25/03/25,Santurtzi,Salud pública,1
25/03/25,Bilbao,Robo violencia,1
25/03/25,Irun,Robo violencia,2
26/03/25,Elgoibar,Extorsión,1
27/03/25,Bizkaia,Salud pública,13
27/03/25,Getxo,Robo violencia,1
28/03/25,Villabona,Robo violencia,3
29/03/25,Gasteiz,Agresión sexual,1
30/03/25,Bilbao,Salud pública,1
30/03/25,Gasteiz,Atentado,3
30/03/25,Tolosa,Robo violencia,1
01/04/25,Zestoa,Robo comercio,2
01/04/25,Santurtzi,Estafa,1
02/04/25,Durango,Robo domicilio,2
02/04/25,Arrigorriaga,Lesiones,3
03/04/25,Barakaldo,Robo domicilio,1
03/04/25,Bilbao,Robo comercio,3
03/04/25,Donostia,Robo domicilio,3
03/04/25,Bilbao,Orden público,5
04/04/25,Anoeta,Lesiones,1
05/04/25,Irun,Robo comercio,1
05/04/25,Tolosa,Robo comercio,4
06/04/25,Bilbao,Amenazas,5
07/04/25,Donostia,Lesiones,5
08/04/25,Bilbao,Robo domicilio,1
08/04/25,Eibar,Robo comercio,0
08/04/25,Bilbao,Lesiones,2
09/04/25,Bilbao,Homicidio tentativa,1
09/04/25,Bilbao,Lesiones,3
09/04/25,Zizurkil,Requisitoria,1
10/04/25,Abanto y Zierbena,Robo comercio,1
10/04/25,Santurtzi,Robo violencia,2
10/04/25,Getxo,Robo violencia,1
11/04/25,Iruña de Oca,Salud pública,1
13/04/25,Leioa,Lesiones,1
13/04/25,Irun,Homicidio,2
14/04/25,Donostia,Lesiones,6
14/04/25,Ermua,Salud pública,1
15/04/25,Lezo,Robo domicilio,1
16/04/25,Bilbao,Robo violencia,1
16/04/25,Irun,Lesiones,1
17/04/25,Gasteiz,Robo violencia,1
18/04/25,Bilbao,Orden público,6
18/04/25,Bilbao,Robo domicilio,1
19/04/25,Donostia,Riña tumultuaria,1
19/04/25,Gasteiz,Lesiones,2
20/04/25,Irun,Homicidio,1
21/04/25,Donostia,Salud pública,1
22/04/25,Bilbao,Estafa,1
24/04/25,Lasarte-Oria,Robo comercio,3
25/04/25,Bilbao,Estafa,1
25/04/25,Getxo,Robo domicilio,1
25/04/25,Irun,Lesiones,1
26/04/25,Getxo,Robo violencia,1
26/04/25,Santurtzi,Lesiones,1
27/04/25,Gasteiz,Robo violencia,1
29/04/25,Tolosa,Lesiones,1
29/04/25,Gasteiz,Robo violencia,1
30/04/25,Bilbao,Robo domicilio,1
30/04/25,Santurtzi,Robo violencia,1
01/05/25,Sestao,Lesiones,2
01/05/25,Donostia,Agresión sexual,0
01/05/25,Donostia,Robo violencia,1
02/05/25,Bilbao,Orden público,2
02/05/25,Bilbao,Lesiones,2
02/05/25,Ermua,Robo comercio,1
