Fecha,Lugar,Delito,Detenciones
01/01/25,Oñati,Lesiones,1
02/01/25,Aduna,Robo comercio,2
03/01/25,Errenteria,Robo violencia,1
03/01/25,Villabona,Robo ,1
03/01/25,Barakaldo,Homicidio,1
04/01/25,Azpeitia,Robo violencia,1
05/01/25,Barakaldo,Lesiones,1
06/01/25,Bilbao,Lesiones,1
07/01/25,Bilbao,Robo comercio,1
07/01/25,Lemoa,Robo comercio,1
08/01/25,Gasteiz,Usurpación,2
08/01/25,Gasteiz,Estafa,1
08/01/25,Lemoa,Robo comercio,1
10/01/25,Portugalete,Robo comercio,1
11/01/25,Gasteiz,Salud pública,1
12/01/25,Bilbao,Atentado agentes,1
13/01/25,Eibar,Táfico personas,2
14/01/25,Zaratamo,Homicidio tentativa,1
16/01/25,Muxika,Homicidio,1
16/01/25,Basauri,Amenazas,1
16/01/25,Laudio,Salud pública,1
17/01/25,Urduliz,Daños,1
18/01/25,Santurtzi,Salud pública,1
19/01/25,Donostia,Robo domicilio,1
19/01/25,Bermeo,Robo comercio,2
20/01/25,Ondarroa,Robo comercio,1
21/01/25,Barakaldo,Robo domicilio,2
22/01/25,Donostia,Robo vehículo,1
23/01/25,Zumárraga,Robo comercio,5
25/01/25,Bilbao,Atentado,1
26/01/25,Santurtzi,Salud pública,1
27/01/25,Bilbao,Robo domicilio,1
27/01/25,Barakaldo,Robo domicilio,1
28/01/25,Abadiño,Resistencia,2
31/01/25,Donostia,Lesiones,3
01/02/25,Irun,Salud pública,2
01/02/25,Hernani,Allanamiento,2
01/02/25,Bilbao,Robo violencia,1
